review_id,client_id,trip_id,rating,comment,review_date
1,2,9,2,Asperiores itaque inventore nulla atque deserunt.,2025-02-11 15:11:15
2,9,6,4,Ad laudantium odit tenetur blanditiis quam.,2025-02-17 04:00:19
3,9,1,1,Explicabo eligendi fugit dolorum ducimus.,2025-02-07 08:39:52
4,10,1,2,Animi voluptas ipsum ipsam.,2025-02-11 05:09:48
5,4,5,4,Dolorem animi laboriosam sapiente itaque.,2025-02-12 08:27:30
6,1,1,4,Quasi commodi qui ullam cum ex.,2025-02-14 02:15:01
7,3,8,2,Amet quas cupiditate alias ratione.,2025-01-30 13:08:00
8,1,7,2,Magnam aut ad. Delectus in perspiciatis nemo.,2025-03-03 11:33:52
9,5,10,3,At ex corporis tempore a.,2025-01-08 05:41:17
10,10,5,5,Fugit est error eveniet atque dignissimos.,2025-01-12 02:00:39
